orgnr_frtk,yrkeskode,antall_stillinger
914853214,2142,1
914853214,7115,1
921956851,7411,1
991482148,7126,7
895811572,3256,1
980399621,5329,7
983489060,1120,1
983489060,1349,1
983489060,2432,1
983489060,2611,3
983489060,2421,1
983489060,1222,3
983489060,1111,1
983489060,2431,2
983489060,2631,1
983489060,1221,2
983489060,1114,4
919739304,5223,2
919739304,3321,14
891036442,7212,4
980402320,1324,1
980402320,1222,1
980402320,3322,1
982261414,1211,1
982261414,3311,1
982261414,2631,1
982261414,2511,1
995366479,3412,7
995366479,4311,2
995366479,2635,7
939429417,1349,2
939429417,5329,11
939429417,5311,12
939429417,5321,23
939429417,5322,24
939429417,1342,5
939429417,3412,46
939429417,2635,2
939429417,2223,4
939429417,2224,75
914985838,1349,1
914985838,5321,2
914985838,2269,4
914985838,3412,8
914985838,2635,7
914985838,2224,10
983369731,5311,4
983369731,5321,1
983369731,5152,2
983369731,3412,4
983369731,2635,10
983369731,2224,2
950990449,5329,8
950990449,5311,3
950990449,5321,33
950990449,4110,1
950990449,1342,7
950990449,2423,1
950990449,2635,10
950990449,2223,3
950990449,2224,54
984331584,5311,5
984331584,5321,21
984331584,4110,1
984331584,1342,2
984331584,3412,2
984331584,2423,2
984331584,9112,1
984331584,2635,16
984331584,2221,1
984331584,2224,12
883603362,2412,2
883603362,2413,2
883603362,3311,4
976052560,7411,5
991075682,7231,1
937794878,7411,2
981225767,2264,6
979837895,6121,1
992070609,2211,1
992070609,3256,4
936869335,3511,2
936869335,2431,3
917507414,7411,1
959651094,3119,1
959651094,2149,1
959651094,5223,1
959651094,3112,2
959651094,3511,1
959651094,3113,1
959651094,3332,1
959651094,7127,5
959651094,4322,1
959651094,7126,3
959651094,1221,1
959651094,2433,8
959651094,2142,4
959651094,3118,1
991297499,1120,1
990711224,7126,4
991326804,3313,1
911970058,5223,2
915108598,2511,1
935546478,9621,1
935546478,2166,1
935546478,3432,1
935546478,9510,1
986361642,7411,10
986361642,3113,2
995550164,3312,1
997863933,8172,1
897978032,3112,1
897978032,2165,1
879951542,2164,2
879951542,2161,3
879951542,2142,1
917495637,2142,1
922798079,3322,2
915331262,1349,1
915331262,7411,2
915331262,2151,1
971596929,3313,7
995075385,1349,1
995075385,5223,1
995075385,7222,3
917441324,2342,2
987747633,3313,4
987747633,4311,2
996872084,3313,8
813801752,5120,13
813801752,5131,49
987781513,5311,1
987781513,2342,2
989214071,5329,15
989214071,5311,469
989214071,5321,4
989214071,3256,1
989214071,5322,62
989214071,2422,1
989214071,4110,22
989214071,4313,2
989214071,3412,6
989214071,2643,1
989214071,2423,1
989214071,9112,1
989214071,5312,2
989214071,0,3
989214071,2224,2
896357522,7233,3
896357522,2411,1
888348972,7115,4
912484483,2519,1
918602305,8342,1
918602305,3123,2
918602305,7114,3
993843482,9112,1
898436772,9112,1
993298166,7114,2
994745433,3313,1
994745433,4311,1
912673197,2432,3
987097876,7231,1
987097876,3152,1
987097876,3313,1
987097876,1221,1
987097876,2146,1
987097876,7541,5
999254632,7233,2
999254632,8350,2
999254632,3152,10
999254632,1211,1
999254632,3117,1
999254632,4110,1
999254632,3412,1
999254632,3322,1
999529593,7231,1
999529593,8350,2
999529593,1324,2
999529593,3412,1
988035769,7411,1
988512761,3313,2
988512761,4311,1
998642906,5223,7
992332018,1349,4
992332018,3123,1
992332018,3112,1
992332018,3511,1
992332018,3114,1
992332018,3323,1
992332018,4227,3
992332018,4110,2
992332018,3312,1
992332018,4222,1
992332018,4322,2
992332018,4313,1
992332018,2423,3
992332018,4311,1
992332018,2431,3
992332018,2411,1
992332018,1221,1
992332018,3322,4
990574693,1219,3
990574693,3119,7
990574693,1349,4
990574693,2359,1
990574693,2519,31
990574693,2149,3
990574693,2514,1
990574693,3333,1
990574693,3122,3
990574693,3341,2
990574693,2164,1
990574693,2621,1
990574693,3512,8
990574693,5223,10
990574693,3112,26
990574693,2521,3
990574693,5242,1
990574693,3511,47
990574693,5243,1
990574693,7411,2
990574693,3114,25
990574693,3113,7
990574693,2412,5
990574693,2413,7
990574693,2641,1
990574693,3321,13
990574693,2111,1
990574693,2166,8
990574693,3257,1
990574693,5321,2
990574693,4224,1
990574693,2422,1
990574693,2432,1
990574693,3323,1
990574693,3514,11
990574693,4227,5
990574693,2611,2
990574693,3332,5
990574693,4110,59
990574693,3312,10
990574693,4222,14
990574693,4321,5
990574693,1330,4
990574693,1323,1
990574693,1346,2
990574693,1324,1
990574693,4322,6
990574693,4313,2
990574693,3115,11
990574693,7223,1
990574693,8211,1
990574693,2513,3
990574693,3513,2
990574693,2523,2
990574693,2421,2
990574693,1222,1
990574693,2423,12
990574693,4416,1
990574693,2163,1
990574693,2512,17
990574693,3313,34
990574693,4311,23
990574693,4221,5
990574693,2431,20
990574693,4226,2
990574693,2411,27
990574693,2631,1
990574693,1221,5
990574693,2434,2
990574693,2433,5
990574693,3322,49
990574693,2142,8
990574693,2152,4
990574693,2151,2
990574693,2141,1
990574693,2144,6
990574693,3343,1
990574693,2651,1
990574693,7212,1
990574693,2522,1
990574693,2511,198
990574693,3521,1
990574693,3522,1
990574693,3118,5
990574693,7422,1
990574693,5244,5
990574693,0,8
989500422,7131,2
967021512,2433,2
913371119,1420,1
983903495,3511,1
983903495,4110,2
979191138,3119,1
979191138,1349,3
979191138,2519,27
979191138,2149,1
979191138,2514,1
979191138,5223,4
979191138,1330,8
979191138,1324,1
979191138,2421,1
