orgnr_frtk,nkode1,ansatte_antall,navn,naerk_tekst
991638768,43.210,20.0,ÅRNES ELEKTRO AS,Elektrisk installasjonsarbeid
920734057,47.111,19.0,ÅRNES HANDEL & SERVICE AS,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler
912155315,86.211,3.0,ÅRNES LEGESENTER AS,Allmenn legetjeneste
850249652,69.202,7.0,ÅRNES REVISJON AS,Revisjon
958038976,36.000,9.0,ÅRNES VANNVERK SA,"Uttak fra kilde, rensing og distribusjon av vann"
912643093,55.300,39.0,ÅROS FERIESENTER AS,Drift av campingplasser
980230546,96.020,3.0,ÅROS HÅRSTUDIO Anne Von Malchus,Frisering og annen skjønnhetspleie
919416866,86.211,2.0,ÅROS LEGESENTER AS,Allmenn legetjeneste
971484500,88.911,6.0,ÅRSKOG BARNEHAGE SA,Barnehager
990180466,71.112,8.0,ÅRSTIDERNE ARKITEKTER AS,Arkitekttjenester vedrørende byggverk
996715035,85.201,9.0,ÅRVIKSAND SKOLE,Ordinær grunnskoleundervisning
989794302,41.200,3.0,ÅRVOLL BYGG AS,Oppføring av bygninger
912178757,86.230,9.0,ÅRVOLL TANNHELSE AS,Tannhelsetjenester
997655176,88.911,26.0,ÅRVOLLSKOGEN BARNEHAGE AS,Barnehager
979734492,45.112,18.0,ÅRØ BILSENTER AS,"Detaljhandel med biler og lette motorvogner, unntatt motorsykler"
868411252,47.111,24.0,ÅRØ LAVPRIS AS,Butikkhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler
989790285,58.130,2.0,ÅS AVIS AS,Utgivelse av aviser
911725738,47.761,11.0,ÅS BLOMSTER KLÆR & INTERIØR AS,Butikkhandel med blomster og planter
960433440,43.210,16.0,ÅS ELEKTRISKE AS,Elektrisk installasjonsarbeid
975962121,43.342,9.0,ÅS GLASSMESTERFORRETNING AS,Glassarbeid
983530559,93.120,3.0,ÅS IL FOTBALL,Idrettslag og -klubber
976986210,94.910,31.0,ÅS KIRKELIGE FELLESRÅD,Religiøse organisasjoner
874637602,84.120,1258.0,ÅS KOMMUNE HELSE- OG SOSIALETATEN,"Offentlig administrasjon tilknyttet helsestell, sosial virksomhet, undervisning, kirke, kultur og miljøvern"
